Date,Station Id,Station Name,Precipitation Increment (in),Air Temperature Average (degF),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values,Relative Humidity (pct) Mean of Hourly Values,Solar Radiation/langley Total (langley),Precipitation Accumulation (in) Start of Day Values
2009-01-01,2057,AAMU-JTG,0.00,40,52,22,32.8,34.2,34.1,39.6,39.4,39,39,42,47,51,48,,17.1
2009-01-02,2057,AAMU-JTG,0.10,48,52,42,33.5,34.0,34.1,39.5,39.3,44,43,45,46,51,86,,17.1
2009-01-03,2057,AAMU-JTG,0.00,56,63,49,34.5,34.2,34.1,39.5,39.1,49,48,48,47,51,94,,17.2
2009-01-04,2057,AAMU-JTG,0.00,59,64,51,34.9,34.3,34.2,39.6,39.0,52,51,51,49,51,93,,17.2
2009-01-05,2057,AAMU-JTG,0.90,42,51,38,36.7,35.0,34.4,39.8,39.1,49,50,51,50,51,99,,17.2
2009-01-06,2057,AAMU-JTG,2.30,53,58,46,44.5,38.7,37.2,41.9,52.3,50,50,50,50,51,100,,18.1
2009-01-07,2057,AAMU-JTG,0.10,46,54,40,39.6,37.3,36.9,41.1,51.0,49,49,51,50,51,71,,20.4
2009-01-08,2057,AAMU-JTG,0.00,43,50,32,36.7,35.7,35.7,40.3,41.2,45,45,48,49,51,55,,20.5
2009-01-09,2057,AAMU-JTG,0.00,44,60,26,35.3,35.1,35.2,40.0,39.3,42,42,45,48,51,52,,20.5
2009-01-10,2057,AAMU-JTG,0.29,56,62,38,36.2,35.6,35.5,39.8,39.0,48,47,47,48,51,86,,20.5
2009-01-11,2057,AAMU-JTG,0.00,32,38,24,38.4,36.2,36.2,40.4,42.8,44,45,47,48,51,89,,20.8
2009-01-12,2057,AAMU-JTG,0.00,33,48,23,37.1,35.4,35.6,40.0,41.8,40,40,43,47,51,85,,20.8
2009-01-13,2057,AAMU-JTG,0.00,34,44,24,36.5,35.1,35.3,39.7,40.0,39,39,42,46,50,77,,20.8
2009-01-14,2057,AAMU-JTG,0.00,35,51,18,35.5,34.7,34.9,39.6,39.2,38,38,41,45,50,54,,20.8
2009-01-15,2057,AAMU-JTG,0.00,21,31,13,34.8,34.3,34.3,39.4,38.9,36,36,39,44,49,55,,20.8
2009-01-16,2057,AAMU-JTG,0.00,16,24,7,31.8,34.0,34.1,39.2,38.7,33,33,37,43,49,46,,20.8
2009-01-17,2057,AAMU-JTG,0.00,28,42,14,30.2,33.5,33.9,39.1,38.6,32,33,36,42,49,58,,20.8
2009-01-18,2057,AAMU-JTG,0.00,43,52,32,31.8,33.2,33.7,39.0,38.6,36,35,37,41,48,68,,20.8
2009-01-19,2057,AAMU-JTG,0.00,33,41,23,31.8,33.0,33.7,39.0,38.6,37,37,39,41,47,75,,20.8
2009-01-20,2057,AAMU-JTG,0.00,24,28,21,30.6,32.8,33.4,39.0,38.4,34,34,37,41,47,66,,20.8
2009-01-21,2057,AAMU-JTG,0.00,26,39,14,29.7,32.5,33.2,38.9,38.2,33,34,36,41,47,66,,20.8
2009-01-22,2057,AAMU-JTG,0.00,41,58,25,29.3,32.2,33.1,38.8,38.1,35,34,37,40,46,58,,20.8
2009-01-23,2057,AAMU-JTG,0.00,53,59,46,29.9,32.2,33.1,38.8,38.1,40,39,40,40,46,82,,20.8
2009-01-24,2057,AAMU-JTG,0.00,39,55,28,31.1,32.2,33.2,38.9,38.0,42,42,43,42,46,73,,20.8
2009-01-25,2057,AAMU-JTG,0.00,33,42,24,31.1,32.1,32.9,39.0,38.0,37,38,40,42,46,67,,20.8
2009-01-26,2057,AAMU-JTG,0.00,42,53,35,30.8,32.2,32.9,38.9,37.9,41,40,41,42,46,65,,20.8
2009-01-27,2057,AAMU-JTG,0.00,61,69,47,30.3,32.3,33.0,38.9,37.9,47,46,45,43,46,72,,20.8
2009-01-28,2057,AAMU-JTG,0.31,43,64,32,36.1,34.8,34.0,39.1,38.1,48,47,48,45,46,85,,20.8
2009-01-29,2057,AAMU-JTG,0.00,35,44,28,36.5,35.4,34.9,39.1,38.0,43,43,45,45,46,74,,21.1
2009-01-30,2057,AAMU-JTG,0.00,35,43,25,34.8,34.9,34.6,39.1,38.0,41,40,43,44,47,73,,21.1
2009-01-31,2057,AAMU-JTG,0.00,39,54,27,33.7,34.5,34.3,39.1,38.0,41,40,42,44,47,70,,21.1
2009-02-01,2057,AAMU-JTG,0.00,49,63,35,32.5,34.2,34.2,39.0,38.0,42,41,43,44,47,50,,21.1
2009-02-02,2057,AAMU-JTG,0.50,40,52,31,37.3,36.0,35.7,39.2,38.0,42,42,44,44,47,74,,21.1
2009-02-03,2057,AAMU-JTG,0.00,29,45,18,35.7,35.3,35.3,39.8,40.3,36,37,41,44,47,59,,21.6
2009-02-04,2057,AAMU-JTG,0.00,22,31,15,33.3,34.6,34.8,39.5,41.0,34,34,38,42,47,56,,21.6
2009-02-05,2057,AAMU-JTG,0.00,28,42,11,31.6,34.1,34.6,39.2,39.8,33,34,36,41,46,46,,21.6
2009-02-06,2057,AAMU-JTG,0.00,47,64,33,31.5,33.9,34.4,39.1,39.5,37,36,37,40,46,49,,21.6
2009-02-07,2057,AAMU-JTG,0.00,55,67,45,31.8,33.9,34.3,39.1,39.1,43,42,42,41,46,65,,21.6
2009-02-08,2057,AAMU-JTG,,,,,31.6,33.7,34.4,39.2,38.9,47,46,45,42,45,78,,21.6
2009-02-09,2057,AAMU-JTG,,59,71,46,30.4,33.5,34.3,39.3,38.9,49,48,47,44,46,68,,
2009-02-10,2057,AAMU-JTG,0.00,60,68,56,29.9,33.5,34.2,39.4,39.0,50,49,49,46,46,68,,21.6
2009-02-11,2057,AAMU-JTG,0.40,60,67,46,32.5,34.8,35.2,39.5,39.1,51,51,51,47,46,64,,21.6
2009-02-12,2057,AAMU-JTG,0.00,50,66,38,34.0,35.7,35.8,39.7,39.3,49,48,49,47,47,61,,22.0
2009-02-13,2057,AAMU-JTG,0.00,50,65,31,32.5,35.1,35.4,39.8,40.1,47,47,48,47,47,64,,22.0
2009-02-14,2057,AAMU-JTG,0.10,51,64,38,35.9,35.2,35.3,39.7,40.2,50,49,50,47,48,78,,22.0
2009-02-15,2057,AAMU-JTG,0.00,40,52,34,35.0,35.1,35.2,39.8,39.7,46,46,48,48,48,73,,22.1
2009-02-16,2057,AAMU-JTG,0.00,35,46,26,32.9,34.7,35.0,39.6,39.3,43,43,45,47,48,63,,22.1
2009-02-17,2057,AAMU-JTG,0.00,40,52,24,31.7,34.4,34.5,39.5,39.3,41,42,44,46,48,63,,22.1
2009-02-18,2057,AAMU-JTG,0.80,60,74,47,37.3,37.2,36.5,40.5,49.0,49,48,48,46,48,72,,22.1
2009-02-19,2057,AAMU-JTG,0.00,38,51,28,34.7,35.6,35.7,40.0,43.2,46,46,48,47,48,53,,22.9
2009-02-20,2057,AAMU-JTG,0.00,31,45,18,32.9,35.0,35.2,39.8,39.4,41,41,44,46,48,56,,22.9
2009-02-21,2057,AAMU-JTG,0.10,43,60,26,31.5,34.7,35.0,39.6,39.1,42,42,43,45,48,57,,22.9
2009-02-22,2057,AAMU-JTG,0.00,33,40,28,31.6,34.4,34.7,39.5,38.9,42,42,44,45,48,66,,23.0
2009-02-23,2057,AAMU-JTG,0.00,33,46,23,31.2,34.1,34.3,39.4,38.6,40,40,42,45,48,59,,23.0
2009-02-24,2057,AAMU-JTG,0.00,41,53,27,30.6,33.8,34.1,39.3,38.6,41,41,42,44,47,51,,23.0
2009-02-25,2057,AAMU-JTG,0.10,47,52,45,31.4,33.6,34.1,39.3,38.5,43,43,44,44,47,73,,23.0
2009-02-26,2057,AAMU-JTG,0.00,60,67,50,34.3,33.9,34.1,39.3,38.4,49,48,47,45,47,71,,23.1
2009-02-27,2057,AAMU-JTG,0.60,57,64,49,36.5,36.4,35.9,40.3,44.6,52,51,51,47,47,84,,23.1
2009-02-28,2057,AAMU-JTG,0.50,44,50,35,38.8,37.9,36.8,41.1,53.2,49,49,50,48,47,96,,23.7
2009-03-01,2057,AAMU-JTG,0.00,34,41,28,38.1,36.9,36.4,40.4,48.0,43,43,46,48,48,75,,24.2
2009-03-02,2057,AAMU-JTG,0.00,29,36,23,35.9,35.8,35.7,40.1,41.0,40,39,42,46,48,57,,24.2
2009-03-03,2057,AAMU-JTG,0.00,30,42,18,34.3,35.3,35.3,39.7,39.3,39,39,41,45,48,48,,24.2
2009-03-04,2057,AAMU-JTG,0.00,43,59,24,33.0,35.0,35.2,39.6,38.9,42,41,43,44,48,44,,24.2
2009-03-05,2057,AAMU-JTG,0.00,55,68,35,31.3,34.8,35.1,39.5,38.9,46,45,45,44,47,51,,24.2
2009-03-06,2057,AAMU-JTG,0.00,62,73,54,29.8,34.5,34.9,39.5,38.8,50,49,49,46,47,65,,24.2
2009-03-07,2057,AAMU-JTG,0.00,65,75,59,28.1,34.1,34.8,39.6,38.8,54,52,52,47,47,71,,24.2
2009-03-08,2057,AAMU-JTG,0.00,67,76,60,26.6,33.5,34.7,39.8,38.8,56,55,54,49,48,72,,24.2
2009-03-09,2057,AAMU-JTG,0.00,70,81,61,25.4,32.9,34.6,39.8,38.7,60,58,57,50,48,73,,24.2
2009-03-10,2057,AAMU-JTG,0.00,69,78,62,23.6,32.3,34.4,40.0,38.7,60,59,58,52,49,65,,24.2
2009-03-11,2057,AAMU-JTG,0.00,53,65,42,22.5,31.5,34.0,40.1,38.7,55,55,56,53,49,69,,24.2
2009-03-12,2057,AAMU-JTG,0.10,40,42,37,21.8,30.5,33.3,39.9,38.7,48,48,51,52,50,73,,24.2
2009-03-13,2057,AAMU-JTG,0.90,43,48,37,25.8,31.8,33.4,39.7,38.6,47,47,49,50,50,95,,24.3
2009-03-14,2057,AAMU-JTG,0.80,50,54,46,36.9,38.0,37.0,41.5,50.9,49,49,50,50,50,97,,25.2
2009-03-15,2057,AAMU-JTG,0.30,58,69,52,36.7,37.9,36.9,41.3,53.0,55,53,53,50,50,89,,26.0
2009-03-16,2057,AAMU-JTG,0.10,54,60,44,35.9,36.8,36.4,40.6,42.4,55,54,54,51,50,92,,26.3
2009-03-17,2057,AAMU-JTG,0.00,54,71,40,34.9,36.2,36.1,40.5,39.9,55,54,54,52,51,78,,26.4
2009-03-18,2057,AAMU-JTG,0.00,58,74,43,32.2,35.5,35.8,40.4,39.8,56,55,55,52,51,68,,26.4
2009-03-19,2057,AAMU-JTG,0.00,55,68,42,29.4,35.0,35.4,40.3,39.6,56,55,55,53,51,75,,26.4
2009-03-20,2057,AAMU-JTG,0.00,49,61,38,27.5,34.3,35.0,40.2,39.3,53,52,54,53,51,46,,26.4
2009-03-21,2057,AAMU-JTG,0.00,52,68,31,24.4,33.3,34.6,40.1,39.0,53,52,53,52,51,45,,26.4
2009-03-22,2057,AAMU-JTG,0.00,58,72,44,22.6,32.1,34.3,40.0,38.8,55,54,55,52,52,53,,26.4
2009-03-23,2057,AAMU-JTG,0.00,61,74,43,20.9,31.0,33.9,40.0,38.7,56,55,55,53,52,51,,26.4
2009-03-24,2057,AAMU-JTG,0.00,66,75,56,19.7,30.0,33.4,40.0,38.6,57,56,56,53,52,50,,26.4
2009-03-25,2057,AAMU-JTG,0.90,60,62,56,31.6,33.6,34.6,40.0,38.6,57,57,57,54,52,88,,26.4
