Name;Start;Lat;Long;Elv;county
Aniak (2065);2002-July;61.58;-159.58;80;Bethel
Canyon Lake (1232);2014-August;59.42;-161.16;550;Bethel
Checkers Creek (2213);2014-September;65.40;-164.71;326;Nome
Gulkana River (2222);2018-June;62.41;-145.38;1830;Valdez-cordova
Hozatka Lake (2210);2014-August;65.20;-156.63;206;Yukon-koyukuk
Innoko Camp (2211);2014-August;63.64;-158.03;83;Yukon-koyukuk
Kanaryagak Camp (2208);2013-August;61.36;-165.12;13;Kusilvak
Kanuti Lake (2212);2014-August;66.18;-151.74;524;Yukon-koyukuk
Lower Mulchatna (1233);2012-September;59.82;-156.99;320;Dillingham
Moose Inc (2062);2002-May;59.68;-151.37;132;Kenai Cook Inlet
Naknek River (2209);2013-October;58.67;-156.57;100;Bristol Bay
Nenana (2081);2002-October;64.69;-148.91;415;Yukon-koyukuk
Schor Garden (2063);2002-May;59.68;-151.38;393;Kenai Peninsula
Spring Creek (2044);2018-June;61.66;-149.13;580;Matanuska-susitna
Tok (2080);2002-October;63.35;-142.98;1630;Southeast Fairbanks
Unalakleet (2221);2015-August;63.91;-160.75;290;Nome
Weary Lake (1234);2012-September;59.13;-159.09;100;Dillingham
AAMU-JTG (2057);2002-February;34.78;-86.55;860;Madison
Bragg Farm (2078);2003-August;34.89;-86.60;798;Madison
Broad Acres (2177);2010-April;32.28;-86.05;269;Montgomery
Cullman-NAHRC (2113);2006-May;34.19;-86.80;799;Cullman
Dee River Ranch (2174);2010-April;33.11;-88.31;160;Pickens
Hodges (2055);2002-February;34.44;-86.17;730;Marshall
Isbell Farms (2173);2010-April;34.82;-87.99;603;Colbert
Koptis Farms (2180);2010-May;30.52;-87.70;135;Baldwin
Livingston-UWA (2114);2006-May;32.61;-88.20;144;Sumter
Morris Farms (2178);2010-April;32.41;-85.91;220;Macon
Perdido Riv Farms (2181);2010-May;31.11;-87.55;299;Escambia
River Road Farms (2182);2010-May;31.02;-85.04;107;Houston
Selma (2176);2010-April;32.40;-86.89;140;Dallas
Stanley Farm (2056);2002-February;34.43;-86.68;635;Morgan
Sudduth Farms (2179);2010-April;34.18;-87.46;772;Winston
Tuskegee (2115);2006-May;32.43;-85.75;400;Macon
Wedowee (2175);2010-April;33.33;-85.52;934;Randolph
Wtars (2053);2002-February;34.90;-86.53;625;Madison
Uapb Campus-PB (2083);2004-February;34.25;-92.03;232;Jefferson
Uapb Dewitt (2091);2004-May;34.28;-91.35;197;Arkansas
Uapb Point Remove (2090);2004-May;35.21;-92.92;315;Pope
Uapb-Earle (2085);2004-February;35.28;-90.45;213;Crittenden
Uapb-Lonoke Farm (2030);1999-September;34.85;-91.88;250;Lonoke
Uapb-Marianna (2084);2004-February;34.78;-90.82;217;Lee
Walnut Gulch #1 (2026);1999-March;31.73;-110.05;4500;Cochise
Ash Valley (2214);2014-October;41.05;-120.69;5097;Lassen
Bodie Hills (2215);2014-October;38.26;-119.13;7825;Mono
Cochora Ranch (2189);2012-June;35.12;-119.60;2697;San Luis Obispo
Death Valley Jct (2190);2012-June;36.33;-116.35;2062;Inyo
Deep Springs (2187);2011-November;37.37;-117.97;5399;Inyo
Desert Center (2183);2011-November;33.80;-115.31;556;Riverside
Doe Ridge (2191);2012-June;37.63;-118.83;7340;Mono
Eagle Lake (2192);2012-June;40.62;-120.72;5134;Lassen
Essex (2185);2011-November;34.67;-115.17;2644;San Bernardino
Ford Dry Lake (2184);2011-November;33.65;-115.10;394;Riverside
French Gulch (2218);2014-October;40.79;-122.55;3704;Shasta
Marble Creek (2149);2009-May;37.78;-118.42;6183;Mono
Monocline Ridge (2217);2014-October;36.54;-120.55;875;Fresno
Shadow Mtns (2186);2011-November;35.47;-115.72;3643;San Bernardino
Stubblefield (2219);2014-October;34.97;-119.48;2995;San Luis Obispo
CPER (2197);2013-September;40.82;-104.71;5330;Weld
Nunn #1 (2017);1993-October;40.87;-104.73;5900;Weld
Everglades ARS (2051);1999-February;25.50;-80.55;9;Dade
Sellers Lake #1 (2012);1994-October;29.10;-81.63;75;Lake
